,,,,,,,
Submodule,Description,Model #,Link,Per submodule,Per total,unit price,Subtotal
Box,Green LED,L513GD-B,https://www.digikey.com/en/products/detail/american-opto-plus-led/L513GD-B/13556882,15,15,$0.18,$2.70
Box,Yellow LED,2460-L513YD-C-ND,https://www.digikey.com/en/products/detail/american-opto-plus-led/L513YD-C/13556895,1,1,$0.18,$0.18
Box,150Ohm Array (9),4610X-101-151LF,https://www.digikey.com/en/products/detail/bourns-inc/4610X-101-151LF/1089176,2,2,$0.52,$1.04
Box,33Ohm Array (4),4608X-2-330LF-ND,https://www.digikey.com/en/products/detail/bourns-inc/4608X-102-330LF/1089133,4,4,$0.45,$1.80
Box,10kOhm Array (9),4610X-1-103LF-ND,https://www.digikey.com/en/products/detail/bourns-inc/4610X-101-103LF/1089169,2,2,$0.55,$1.10
Box,Stablizing Capacitors,399-C410C105K3R5TA-ND,https://www.digikey.com/en/products/detail/kemet/C410C105K3R5TA/12701220,3,3,$0.32,$0.96
Box,Isolating capacitors (10nF),399-C410C103K5R5TA-ND,https://www.digikey.com/en/products/detail/kemet/C410C103K5R5TA/12701142,15,15,$0.19,$2.85
Box,Digital Inverter,296-4217-5-ND,https://www.digikey.com/en/products/detail/texas-instruments/CD74AC04E/375681,1,1,$0.79,$0.79
Box,"OR gate  (2ch, 4-in)",CD4072BE,https://www.digikey.com/en/products/detail/texas-instruments/CD4072BE/67317,3,3,$0.88,$2.64
Box,D-Latch (Octal),SN74AC573N,https://www.digikey.com/en/products/detail/texas-instruments/SN74AC573N/1575944,2,2,$0.98,$1.96
Box,RJ45 Female,MTJ-881X1,https://www.digikey.com/en/products/detail/adam-tech/MTJ-881X1/9832263,3,3,$0.63,$1.89
Box,USB A,USB-A1HSW6,https://www.digikey.com/en/products/detail/on-shore-technology-inc/USB-A1HSW6/2677750,1,1,$0.48,$0.48
Box,RJ11 Female,,,1,1,$0.32,$0.32
Box,Project Box (fillament),,,0.2,0.2,$25.00,$5.00
Box,PCB,,,1,1,$5.00,$5.00
Breakout,RJ45 Female,,,1,3,$0.62,$1.86
Breakout,RJ11 Female,54601-906001WPLF,https://www.digikey.com/en/products/detail/amphenol-cs-fci/54601-906001WPLF/4242889,5,15,$0.32,$4.80
Breakout,Project Box (fillament),,,0.1,0.3,$25.00,$7.50
Breakout,PCB,,,1,3,$1.00,$3.00
Buzzer,Momentary Switch,KS1100OA1AF060,https://www.digikey.com/en/products/detail/e-switch/KS1100OA1AF060/7364301,1,10,$0.75,$7.50
Buzzer,RJ11 Female,54601-906001WPLF,https://www.digikey.com/en/products/detail/amphenol-cs-fci/54601-906001WPLF/4242889,1,10,$0.32,$3.20
Buzzer,PVC Pipe (~5ft),,,0.33,3.3,$1.00,$3.30
Buzzer,20 gauge wire (2 colors?),,,,,$2.00,$2.00
Box-Module,Ethernet Cable (cat5),TL1441-ND,https://www.digikey.com/en/products/detail/tripp-lite/N001-014-BK/1533134,1,3,$6.09,$18.27
Buzzer Wire,Phone Cable (cat 3),A2641R-07-ND,https://www.digikey.com/en/products/detail/assmann-wsw-components/AT-S-26-6-4-W-7-R/1972697,1,10,$2.01,$20.10
General,USB A cable,AE1454-ND,https://www.digikey.com/en/products/detail/assmann-wsw-components/AK670-2-1/930239,1,1,$2.39,$2.39
Build Tools,Soldering Iron,For Example:,https://www.amazon.com/Soldering-Welding-Portable-Electric-Repairing/dp/B098JD8HD3/ref=sr_1_5?crid=2NZ6E3EFBDAO5&keywords=soldering+iron&qid=1689101343&sprefix=soldering+iron%2Caps%2C173&sr=8-5,,,,
Build Tools,Lead-free Solder,(Could be included with iron),,,,,
Build Tools,2m Allen Wrench,For Example:,https://www.amazon.com/GEARWRENCH-Piece-Metric-Ball-Long/dp/B098TYMJ3X/ref=sr_1_9?crid=2DLA7QWA3YJ5F&keywords=metric+allen+wrench&qid=1689101569&sprefix=metric+allen+wrench%2Caps%2C140&sr=8-9,,,,
Build Tools,Wire Strippers,For Example:,https://www.amazon.com/WGGE-Professional-crimping-Multi-Tool-Multi-Function/dp/B073YG65N2/ref=sr_1_5?keywords=wire+stripper&qid=1689101609&sprefix=wire+stri%2Caps%2C156&sr=8-5,,,,
Build Tools,Super Glue/Epoxy,,,,,,
,,,,,,Total,$102.63
